Name,Ticker,Exchange,BE - Monthly 2004-12,Daily Closing Price 2004-12-31 USD,Market Cap - Monthly 2004-12 ,C/P - Daily 2004-12-31,E/P - Daily 2004-12-31,EBITDA/P- Daily 2004-12-31,FCF/P - Daily 2004-12-31,S/P - Daily 2004-12-31,Yearly Return Year  2005
Information Technology Services,IG001DA070,"NEW YORK STOCK EXCHANGE, INC.",19860261776,54.09,70114602022,0.024306446,,0.023451514,-0.002661519,0.224371602,-0.026288845
"InfraSource Services, Inc.",IFS,"NEW YORK STOCK EXCHANGE, INC.",283981471.8,13.00,509173041,,0.010769231,,,,0.006153897
Infrastructure Operations,IG001DA071,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
ING Groep N.V. 6 1/8 % Perpetual Debt Secs 2005-Without Fixed Maturity,ISG,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,0.011632799
ING Groep N.V. 7.05 % Perpetual Debt Secs 2002-Without Fixed Maturity,IND,"NEW YORK STOCK EXCHANGE, INC.",,26.90,,,,,,,-0.048698878
ING Groep N.V. 7.2 % Perpetual Debt Securities 2002-Without fixed maturity,INZ,"NEW YORK STOCK EXCHANGE, INC.",,27.17,,,,,,,-0.055208021
ING Groep N.V. 8 1/2 % Perpetual Hybrid Cap Secs 2008,IGK,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
ING Groep N.V. ADR,ING,"NEW YORK STOCK EXCHANGE, INC.",35038069145,30.25,66692775220,1.971278473,0.116913448,,,1.443343013,0.210340308
ING Groep N.V. Pref Share,ISF,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
ING Groep N.V. Pref Share,IDG,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
Ingersoll-Rand PLC,IR,"NEW YORK STOCK EXCHANGE, INC.",5733790035,40.40,13828852294,0.045519017,0.057160659,0.076801848,0.038528044,0.677948176,0.013487369
